marker,cyclone_id,forecast_time,horizon_h,member_count,domain_cell_count,realized_event_cell_count,estimator,brier_score
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-19 06:00:00,6,51,125,0,Deterministic mean-track,0.008
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-19 06:00:00,6,51,125,0,P90 envelope,0.056
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-19 06:00:00,6,51,125,0,Ensemble probability-weighted,0.0001814686658977317
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-19 12:00:00,6,51,125,0,Deterministic mean-track,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-19 12:00:00,6,51,125,0,P90 envelope,0.04
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-19 12:00:00,6,51,125,0,Ensemble probability-weighted,0.000750480584390619
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-19 18:00:00,6,51,125,0,Deterministic mean-track,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-19 18:00:00,6,51,125,0,P90 envelope,0.056
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-19 18:00:00,6,51,125,0,Ensemble probability-weighted,0.00038446751249519417
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-20 00:00:00,6,51,122,0,Deterministic mean-track,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-20 00:00:00,6,51,122,0,P90 envelope,0.03278688524590164
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-20 00:00:00,6,51,122,0,Ensemble probability-weighted,9.454119159717888e-05
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-20 06:00:00,6,51,122,0,Deterministic mean-track,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-20 06:00:00,6,51,122,0,P90 envelope,0.09016393442622951
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-20 06:00:00,6,51,122,0,Ensemble probability-weighted,0.00016072002571520416
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-20 12:00:00,6,51,131,0,Deterministic mean-track,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-20 12:00:00,6,51,131,0,P90 envelope,0.04580152671755725
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-20 12:00:00,6,51,131,0,Ensemble probability-weighted,0.00036685831344961275
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-20 18:00:00,6,51,142,0,Deterministic mean-track,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-20 18:00:00,6,51,142,0,P90 envelope,0.04225352112676056
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-20 18:00:00,6,51,142,0,Ensemble probability-weighted,0.00025450666320104404
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-21 00:00:00,6,51,142,0,Deterministic mean-track,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-21 00:00:00,6,51,142,0,P90 envelope,0.04225352112676056
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-21 00:00:00,6,51,142,0,Ensemble probability-weighted,0.0008826507681227697
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-21 06:00:00,6,51,150,0,Deterministic mean-track,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-21 06:00:00,6,51,150,0,P90 envelope,0.04666666666666667
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-21 06:00:00,6,51,150,0,Ensemble probability-weighted,0.0004434191977444573
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-21 12:00:00,6,51,154,0,Deterministic mean-track,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-21 12:00:00,6,51,154,0,P90 envelope,0.03896103896103896
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-21 12:00:00,6,51,154,0,Ensemble probability-weighted,0.0005642185572981421
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-21 18:00:00,6,51,164,0,Deterministic mean-track,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-21 18:00:00,6,51,164,0,P90 envelope,0.024390243902439025
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-21 18:00:00,6,51,164,0,Ensemble probability-weighted,0.00014300316013540756
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-22 00:00:00,6,51,173,0,Deterministic mean-track,0.005780346820809248
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-22 00:00:00,6,51,173,0,P90 envelope,0.03468208092485549
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-22 00:00:00,6,51,173,0,Ensemble probability-weighted,0.000742266758227716
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-22 06:00:00,6,51,173,1,Deterministic mean-track,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-22 06:00:00,6,51,173,1,P90 envelope,0.028901734104046242
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-22 06:00:00,6,51,173,1,Ensemble probability-weighted,0.002891284588186402
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-22 12:00:00,6,51,180,0,Deterministic mean-track,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-22 12:00:00,6,51,180,0,P90 envelope,0.022222222222222223
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-22 12:00:00,6,51,180,0,Ensemble probability-weighted,0.00022854457687214322
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-22 18:00:00,6,51,180,1,Deterministic mean-track,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-22 18:00:00,6,51,180,1,P90 envelope,0.027777777777777776
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-22 18:00:00,6,51,180,1,Ensemble probability-weighted,0.003101371267461233
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-23 00:00:00,6,51,180,0,Deterministic mean-track,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-23 00:00:00,6,51,180,0,P90 envelope,0.022222222222222223
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-23 00:00:00,6,51,180,0,Ensemble probability-weighted,8.116536374898544e-05
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-23 06:00:00,6,51,179,1,Deterministic mean-track,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-23 06:00:00,6,51,179,1,P90 envelope,0.0335195530726257
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-23 06:00:00,6,51,179,1,Ensemble probability-weighted,0.002635428144310633
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-23 12:00:00,6,51,179,0,Deterministic mean-track,0.00558659217877095
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-23 12:00:00,6,51,179,0,P90 envelope,0.03910614525139665
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-23 12:00:00,6,51,179,0,Ensemble probability-weighted,0.0006550982754806381
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-23 18:00:00,6,51,176,1,Deterministic mean-track,0.005681818181818182
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-23 18:00:00,6,51,176,1,P90 envelope,0.03977272727272727
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-23 18:00:00,6,51,176,1,Ensemble probability-weighted,0.005745167942399776
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-24 00:00:00,6,51,176,0,Deterministic mean-track,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-24 00:00:00,6,51,176,0,P90 envelope,0.03409090909090909
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-24 00:00:00,6,51,176,0,Ensemble probability-weighted,0.0004041277830205165
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-24 06:00:00,6,51,176,0,Deterministic mean-track,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-24 06:00:00,6,51,176,0,P90 envelope,0.03977272727272727
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-24 06:00:00,6,51,176,0,Ensemble probability-weighted,0.00039320541050644843
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-24 12:00:00,6,51,171,0,Deterministic mean-track,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-24 12:00:00,6,51,171,0,P90 envelope,0.03508771929824561
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-24 12:00:00,6,51,171,0,Ensemble probability-weighted,0.00010342400920923353
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-24 18:00:00,6,51,171,1,Deterministic mean-track,0.011695906432748537
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-24 18:00:00,6,51,171,1,P90 envelope,0.029239766081871343
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-24 18:00:00,6,51,171,1,Ensemble probability-weighted,0.0059626189657149406
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-25 00:00:00,6,51,171,0,Deterministic mean-track,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,FINA,2025-11-25 00:00:00,6,51,171,0,P90 envelope,0.04678362573099415
