marker,cyclone_id,forecast_time,horizon_h,member_count,estimator,predicted_vw_exposure,realized_vw_exposure,absolute_error
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-19 18:00:00,24,51,P90 envelope,1531351.4794115855,0.0,1531351.4794115855
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-19 18:00:00,24,51,Ensemble probability-weighted,72725.68563903366,0.0,72725.68563903366
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-20 00:00:00,24,51,Deterministic mean-track,0.0,0.0,0.0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-20 00:00:00,24,51,P90 envelope,1521650.8933859188,0.0,1521650.8933859188
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-20 00:00:00,24,51,Ensemble probability-weighted,40216.401497613144,0.0,40216.401497613144
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-20 06:00:00,24,51,Deterministic mean-track,0.0,0.0,0.0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-20 06:00:00,24,51,P90 envelope,1707249.2831018043,0.0,1707249.2831018043
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-20 06:00:00,24,51,Ensemble probability-weighted,47804.904141379964,0.0,47804.904141379964
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-20 12:00:00,24,51,Deterministic mean-track,0.0,0.0,0.0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-20 12:00:00,24,51,P90 envelope,1477272.0889540962,0.0,1477272.0889540962
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-20 12:00:00,24,51,Ensemble probability-weighted,46705.422614012976,0.0,46705.422614012976
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-20 18:00:00,24,51,Deterministic mean-track,0.0,0.0,0.0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-20 18:00:00,24,51,P90 envelope,1338863.1382703707,0.0,1338863.1382703707
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-20 18:00:00,24,51,Ensemble probability-weighted,42549.42793481186,0.0,42549.42793481186
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-21 00:00:00,24,51,Deterministic mean-track,0.0,0.0,0.0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-21 00:00:00,24,51,P90 envelope,1338863.1382703707,0.0,1338863.1382703707
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-21 00:00:00,24,51,Ensemble probability-weighted,31776.181731137374,0.0,31776.181731137374
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-21 06:00:00,24,51,Deterministic mean-track,229977.19414770804,0.0,229977.19414770804
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-21 06:00:00,24,51,P90 envelope,962792.4235795607,0.0,962792.4235795607
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-21 06:00:00,24,51,Ensemble probability-weighted,58335.278365167556,0.0,58335.278365167556
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-21 12:00:00,24,50,Deterministic mean-track,0.0,158906.65562162804,158906.65562162804
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-21 12:00:00,24,50,P90 envelope,967811.2156894204,158906.65562162804,808904.5600677923
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-21 12:00:00,24,50,Ensemble probability-weighted,65585.02775861253,158906.65562162804,93321.62786301551
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-21 18:00:00,24,51,Deterministic mean-track,0.0,0.0,0.0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-21 18:00:00,24,51,P90 envelope,1231538.2693583549,0.0,1231538.2693583549
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-21 18:00:00,24,51,Ensemble probability-weighted,72569.2422975387,0.0,72569.2422975387
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-22 00:00:00,24,51,Deterministic mean-track,312834.6942892913,312834.6942892913,0.0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-22 00:00:00,24,51,P90 envelope,1197222.999836672,312834.6942892913,884388.3055473808
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-22 00:00:00,24,51,Ensemble probability-weighted,73468.47637993861,312834.6942892913,239366.21790935268
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-22 06:00:00,24,51,Deterministic mean-track,0.0,0.0,0.0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-22 06:00:00,24,51,P90 envelope,1177589.529963642,0.0,1177589.529963642
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-22 06:00:00,24,51,Ensemble probability-weighted,45465.365444256975,0.0,45465.365444256975
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-22 12:00:00,24,51,Deterministic mean-track,0.0,266153.1314903576,266153.1314903576
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-22 12:00:00,24,51,P90 envelope,1177589.529963642,266153.1314903576,911436.3984732842
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-22 12:00:00,24,51,Ensemble probability-weighted,59781.217751466174,266153.1314903576,206371.91373889145
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-22 18:00:00,24,51,Deterministic mean-track,266153.1314903576,0.0,266153.1314903576
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-22 18:00:00,24,51,P90 envelope,1177064.650220181,0.0,1177064.650220181
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-22 18:00:00,24,51,Ensemble probability-weighted,66378.82666091969,0.0,66378.82666091969
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-23 00:00:00,24,51,Deterministic mean-track,0.0,370519.5495844955,370519.5495844955
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-23 00:00:00,24,51,P90 envelope,1907665.8003637863,370519.5495844955,1537146.2507792907
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-23 00:00:00,24,51,Ensemble probability-weighted,76123.96481524371,370519.5495844955,294395.58476925176
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-23 06:00:00,24,51,Deterministic mean-track,0.0,0.0,0.0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-23 06:00:00,24,51,P90 envelope,1925144.1520264717,0.0,1925144.1520264717
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-23 06:00:00,24,51,Ensemble probability-weighted,62224.978903742536,0.0,62224.978903742536
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-23 12:00:00,24,51,Deterministic mean-track,370519.5495844955,0.0,370519.5495844955
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-23 12:00:00,24,51,P90 envelope,1898913.3767104466,0.0,1898913.3767104466
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-23 12:00:00,24,51,Ensemble probability-weighted,60691.0472735187,0.0,60691.0472735187
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-23 18:00:00,24,51,Deterministic mean-track,0.0,0.0,0.0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-23 18:00:00,24,51,P90 envelope,1715330.3431614265,0.0,1715330.3431614265
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-23 18:00:00,24,51,Ensemble probability-weighted,74850.27608341025,0.0,74850.27608341025
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-24 00:00:00,24,51,Deterministic mean-track,439708.0020425015,116553.95411257951,323154.047929922
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-24 00:00:00,24,51,P90 envelope,1776446.039730311,116553.95411257951,1659892.0856177313
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-24 00:00:00,24,51,Ensemble probability-weighted,96531.19534668123,116553.95411257951,20022.75876589828
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-24 06:00:00,24,51,Deterministic mean-track,0.0,0.0,0.0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-24 06:00:00,24,51,P90 envelope,1652500.8928597604,0.0,1652500.8928597604
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FINA,2025-11-24 06:00:00,24,51,Ensemble probability-weighted,89834.33064442487,0.0,89834.33064442487
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-05 18:00:00,24,50,Deterministic mean-track,0.0,0.0,0.0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-05 18:00:00,24,50,P90 envelope,230290.68047974567,0.0,230290.68047974567
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-05 18:00:00,24,50,Ensemble probability-weighted,4326.597973869074,0.0,4326.597973869074
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-06 00:00:00,24,48,Deterministic mean-track,31860.631690652946,22302.37028918206,9558.261401470885
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-06 00:00:00,24,48,P90 envelope,310017.3846312185,22302.37028918206,287715.01434203645
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-06 00:00:00,24,48,Ensemble probability-weighted,4155.663915976287,22302.37028918206,18146.706373205772
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-06 06:00:00,24,49,Deterministic mean-track,25438.527809314077,0.0,25438.527809314077
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-06 06:00:00,24,49,P90 envelope,349517.0162744937,0.0,349517.0162744937
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-06 06:00:00,24,49,Ensemble probability-weighted,7946.590627773223,0.0,7946.590627773223
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-06 12:00:00,24,51,Deterministic mean-track,0.0,0.0,0.0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-06 12:00:00,24,51,P90 envelope,381564.99529054406,0.0,381564.99529054406
