marker,horizon_h,bin_index,bin_lower,bin_upper,cell_count,mean_forecast_probability,observed_frequency
REAL_HUMANITARIAN_GEOSPATIAL_DATA,72,7,0.7,0.8,0,,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,72,8,0.8,0.9,0,,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,72,9,0.9,1.0,0,,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,96,0,0.0,0.1,23956,0.00118805697595579,0.001210552679913174
REAL_HUMANITARIAN_GEOSPATIAL_DATA,96,1,0.1,0.2,2,0.1,0.0
REAL_HUMANITARIAN_GEOSPATIAL_DATA,96,2,0.2,0.3,0,,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,96,3,0.3,0.4,0,,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,96,4,0.4,0.5,0,,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,96,5,0.5,0.6,0,,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,96,6,0.6,0.7,0,,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,96,7,0.7,0.8,0,,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,96,8,0.8,0.9,0,,
REAL_HUMANITARIAN_GEOSPATIAL_DATA,96,9,0.9,1.0,0,,
