storm_id,model,n_windows,mean_err_6h,mean_err_12h,mean_err_24h,mean_err_48h
AL072012,GNO+DynGNN,26,7640.1,8064.1,7103.0,8806.7
AL082012,LSTM,14,5137.6,4866.3,4114.7,3952.4
AL082012,Transformer,14,5557.5,5295.5,6192.0,5190.7
AL082012,GNO+DynGNN,14,5035.4,4518.9,3857.5,5029.6
AL092012,LSTM,39,7927.1,7680.4,8167.4,7690.0
AL092012,Transformer,39,9074.8,8799.7,9466.2,9597.5
AL092012,GNO+DynGNN,39,7669.6,7888.0,6970.8,8504.9
AL112012,LSTM,10,5555.8,5351.7,5239.7,5057.0
AL112012,Transformer,10,6357.0,6125.3,7047.1,6539.8
AL112012,GNO+DynGNN,10,5386.0,5300.8,4561.1,6100.9
AL122012,LSTM,48,6077.2,5819.2,6116.1,5593.0
AL122012,Transformer,48,7168.8,6848.4,7552.9,7429.4
AL122012,GNO+DynGNN,48,5858.4,5991.0,5035.5,6492.0
AL132012,LSTM,30,4981.5,4792.2,4639.6,4431.0
AL132012,Transformer,30,5678.4,5474.9,6460.2,6093.1
AL132012,GNO+DynGNN,30,4852.7,4672.8,3970.5,5456.7
AL142012,LSTM,84,4670.2,4516.4,4093.5,3923.1
AL142012,Transformer,84,5172.9,4999.8,6052.1,5439.6
AL142012,GNO+DynGNN,84,4588.3,4259.4,3673.7,5006.3
AL152012,LSTM,1,4270.9,4041.1,4278.5,3302.8
AL152012,Transformer,1,5512.0,5086.5,5723.1,5100.1
AL152012,GNO+DynGNN,1,4096.9,4293.8,3194.7,4400.7
AL172012,LSTM,44,6017.1,5857.9,5123.8,5079.7
AL172012,Transformer,44,6228.4,6133.7,7186.5,6258.4
AL172012,GNO+DynGNN,44,5945.1,5448.1,4989.2,6120.0
AL182012,LSTM,33,7892.8,7555.9,7747.6,7119.1
AL182012,Transformer,33,8925.4,8586.1,9141.1,8938.6
AL182012,GNO+DynGNN,33,7638.4,7673.7,6677.8,7942.1
AL192012,LSTM,8,5337.7,5027.7,4728.6,3765.3
AL192012,Transformer,8,6302.8,5870.0,6472.8,5369.5
AL192012,GNO+DynGNN,8,5154.1,5045.6,3927.5,4896.0
AL012013,LSTM,2,8658.1,8263.3,8028.5,6897.8
AL012013,Transformer,2,9563.3,9198.4,9701.4,8545.9
AL012013,GNO+DynGNN,2,8381.4,8246.6,7088.4,7910.4
AL022013,LSTM,11,9232.4,8950.3,9518.7,8836.4
AL022013,Transformer,11,10540.9,10191.7,10655.9,10812.5
AL022013,GNO+DynGNN,11,8985.0,9238.4,8172.6,9656.7
AL032013,LSTM,1,5223.1,5092.8,6245.5,6323.3
AL032013,Transformer,1,6765.7,6440.5,7234.5,8314.0
AL032013,GNO+DynGNN,1,5007.3,5637.8,4834.0,7077.7
AL042013,LSTM,39,5857.4,5683.8,6258.3,5851.9
AL042013,Transformer,39,7099.1,6799.1,7576.7,7801.6
